Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Bribery incidence (percent of firms experiencing at least one bribe payment request),Bribery depth (% of public transactions where a gift or informal payment was requested),Percent of firms expected to give gifts in meetings with tax officials,Percent of firms expected to give gifts to secure government contract,Percent of firms expected to give gifts to get an operating license,Percent of firms expected to give gifts to get an import license,Percent of firms expected to give gifts to get a construction permit,Percent of firms expected to give gifts to get an electrical connection,Percent of firms expected to give gifts to get a water connection,"Percent of firms expected to give gifts to public officials ""to get things done""",Percent of firms identifying corruption as a major or very severe constraint,Real annual sales growth (%),Annual employment growth (%),Real annual labor productivity growth (%),Percent of firms buying fixed assets,Capacity utilization (%)*,Age of the establishment (years),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of private domestic ownership in a firm (%),Percent of firms with legal status of Sole Proprietorship,Senior management time spent dealing with the requirements of government regulation (%),Days to obtain an operating license,[B-READY] Days to obtain a construction-related permit [median],Days to obtain an import license,[B-READY] Days to receive payment under government contract,[B-READY] Percent of firms visited or inspected for health or safety,[B-READY] Percent of firms with a report issued for health or safety inspection,Percent of firms identifying business licensing and permits as a major or very severe constraint,Percent of firms identifying access to land as a major or very severe constraint,[B-READY] Perceptions index of access to land as a constraint,[B-READY] Percent of firms offering formal training over last fiscal year,Proportion of workers offered formal training over last fiscal year (%)*,Years of the top manager's experience working in the firm's sector,Percent of firms where the largest owner is also the top manager,Number of permanent full-time equivalent workers,"Proportion of permanent workers, out of all permanent full-time equivalent workers","Proportion of production workers, out of all permanent workers*","Proportion of skilled workers, out of all permanent production workers (%)*",Proportion of permanent full time workers that completed high school,[B-READY] Weeks to dismiss a full-time permanent worker,[B-READY] Weeks paid in severance,[B-READY] Percent of firms involved in labor dispute over last 3 years,[B-READY] Months to resolve labor dispute,Percent of firms identifying labor regulations as a major or very severe constraint,[B-READY] Perceptions index of labor regulations as a constraint,Percent of firms identifying an inadequately educated workforce as a major or very severe constraint,Management practices index,Score on action when a problem arose,Score on number of performance indicators monitored,Score on time focus of production/service provision targets,Score on achievability of production/service provision targets,Score on knowledge of production/service provision targets,Score on basis of managers' performance bonuses,Score on extent to which non-managers are promoted based on performance,Score on extent to which under-performing non-managers are reassigned or dismissed,Percent of firms competing against unregistered or informal firms,Percent of firms formally registered when they started operations,Number of years firm operated without formal registration,Percent of firms identifying practices of competitors in the informal sector as a major or very severe constraint
Lebanon,2019,Ownership Type,NA,10% or more foreign ownership,Average,0,0,0,NA,NA,NA,NA,NA,NA,6.8,100,NA,NA,NA,0,NA,27.9,100,0,51.8,0,12.9,NA,NA,NA,NA,NA,NA,8.6,NA,NA,15.6,NA,19.2,NA,119.6,40.9,NA,NA,NA,NA,NA,NA,NA,1.8,96.5,11.5,NA,NA,4.3,13.1,8.8,0,13.2,16.9,7,6.8,100,0,NA
Lebanon,2019,Ownership Type,NA,Domestic,Average,22.4,19.3,20.1,3.5,15.2,9.2,59,15.2,0,11.3,77.7,-10.6,-3.6,-6.6,14,64,26.1,0,0,98.1,31.5,2.3,7.3,90,2.2,NA,NA,NA,7.3,0,100,20.9,55.5,29.1,NA,26.3,93.8,65.3,78.4,54,NA,NA,NA,NA,3.3,92.1,9.9,40.2,73.9,33.3,25.4,28,6.3,44.4,60.4,19.7,56.8,87,1,45.5
Lebanon,2019,Sector,Manufacturing,All,Average,22.7,18,20.7,0,7.8,0,4.4,47.5,NA,7.4,73.8,-12,-2.6,-9.1,14.3,63.8,27.7,0.6,0,97.5,28.1,2.2,7.2,60,2.3,NA,NA,NA,5.3,0,100,12.8,55.7,30.8,NA,32.5,94.5,65.3,78.3,43.1,NA,NA,NA,NA,3.9,91.6,4.4,44,77.1,45.3,47.4,50.5,12,38.5,59.4,17.6,57.7,90.7,1.2,41.3
Lebanon,2019,Sector,Manufacturing,Food,Average,14.7,14.7,16.6,NA,0,NA,0,20.6,NA,7.9,59.4,-9.1,3.8,-12.8,25.9,61.4,38.6,1.8,0,97.4,35.5,2.1,7.4,NA,NA,NA,NA,NA,6.3,0,100,17.3,52.3,30,NA,47.8,95.4,64.4,66.9,43.6,NA,NA,NA,NA,2.4,91.1,2,42.7,77.7,45,47.8,40.6,13.1,36.8,53.3,18.4,67.7,83.2,3.1,38.7
Lebanon,2019,Sector,Manufacturing,Other Manufacturing,Average,24.4,18.7,21.8,0,8.5,NA,7,53,NA,7.3,77.5,-12.7,-4.2,-8.2,11.3,64.5,24.9,0.3,0,97.6,26.2,2.2,7.1,90,NA,NA,NA,NA,5.1,0,100,11.7,56.9,31,NA,28.6,94.2,65.6,81.2,43,NA,NA,NA,NA,4.3,91.7,5.1,44.4,76.9,45.4,47.3,54.1,11.7,39.2,61.6,17.4,55.1,92.5,0.7,41.9
Lebanon,2019,Sector,Services,All,Average,21.3,19.2,18.5,3.8,21.4,15,67.3,0.6,NA,13.5,80.2,-9.6,-4.1,-5,13.5,NA,25.3,1.5,0,97.6,32.8,2.5,7.4,90,2.2,NA,NA,NA,8.5,0,100,25.3,NA,28,NA,24.5,92.4,NA,NA,59.8,NA,NA,NA,NA,2.9,92.3,13,32.9,69.2,22.9,9.2,10.8,1.9,45.9,57.5,20.1,55.6,85.3,0.9,48
Lebanon,2019,Sector,Services,Other Services,Average,18.4,14.5,9.5,0.8,13.2,NA,77.9,1.6,NA,10.5,79.4,-11.4,-5.2,-5.1,13.5,NA,22.8,3.4,0,96.2,27.4,3.1,7.9,90,NA,NA,NA,NA,2,0,100,33.7,NA,26.2,NA,31.1,87.3,NA,NA,55.5,NA,NA,NA,NA,2,93.2,8.1,34.6,69.1,28.8,9.2,10.9,3.5,27.8,48.2,22.9,40.7,87.3,0.9,30.4
Lebanon,2019,Sector,Services,Wholesale & Retail,Average,24.3,24.2,29.4,4.9,NA,20.6,45.2,NA,NA,15.8,80.9,-8.5,-3.3,-5,13.5,NA,27,0,0,98.7,36.8,2.2,NA,NA,2.4,NA,NA,NA,13.3,0,100,19,NA,29.4,NA,19.5,96.3,NA,NA,64.3,NA,NA,NA,NA,3.6,91.7,16.7,31,69.3,18.2,9.1,10.8,0.6,60.4,65,17.9,66.7,83.8,0.9,57.9
Lebanon,2019,Size,NA,Large (100+),Average,11.6,10.5,11.6,0,0,NA,NA,NA,NA,8.8,92.7,-5.1,1.7,-6.9,8.1,73.9,34.7,21.8,0,87.6,4.9,5.4,8.5,NA,NA,NA,NA,NA,9.5,0,100,47.6,50.6,25,NA,192.7,79.5,77,76.6,69.3,NA,NA,NA,NA,1.1,88.3,1.7,39.3,73.1,37.2,19.5,22.1,4,32.1,38.6,12.9,31.2,93.4,1.5,21.6
Lebanon,2019,Size,NA,Medium (20-99),Average,21.1,14.1,19.9,7.3,7.4,0,64.5,1.8,NA,16.6,77.1,-9,-1.8,-7,23.7,72.5,27.8,0.7,0,98.2,13.3,3.3,8.5,90,1.5,NA,NA,NA,5.2,0,100,36.2,56.9,28.9,NA,41.5,95.8,68.8,74.6,56.9,NA,NA,NA,NA,3.7,90,12.6,40.5,74.3,31,25.9,28.1,6.4,45.1,62.3,20.5,48.6,87.1,0.8,37.7
Lebanon,2019,Size,NA,Small (5-19),Average,23.8,23.8,20.5,0,24.8,14.7,52,34.1,NA,8.7,77.4,-11.6,-4.8,-6.3,9.2,58.8,24.7,0,0,98,41.8,1.8,5.8,90,2.5,NA,NA,NA,8.3,0,100,11.3,56.3,29.4,NA,9.1,92.7,62.8,80.3,50.6,NA,NA,NA,NA,3.2,93.4,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,86.8,1,50.1
Lebanon,2019,NA,NA,NA,Average,21.8,18.8,19.3,3.4,15,9.2,56.5,15,NA,11.3,77.9,-10.5,-3.6,-6.5,13.8,63.8,26.2,1.2,0,97.6,31.1,2.4,7.3,90,2.2,NA,NA,NA,7.3,0,100,20.8,55.7,29,NA,27.4,93.1,65.3,78.3,54,NA,NA,NA,NA,3.3,92.1,9.9,40.3,74.1,32,24.8,27,6,42.9,58.3,19.1,56.3,87.2,1,45.5
Lesotho,2009,Exporter Type,NA,Direct exports are 10% or more of sales,Average,9.4,3.4,6.2,4.7,0,10.8,NA,5.5,3.1,29.4,26.5,NA,NA,NA,77.3,NA,15.3,55.6,0,44.3,30.7,14.5,6.9,NA,6.5,NA,NA,NA,9.4,27.5,75.1,62.9,NA,15.5,83,NA,94.1,NA,NA,NA,NA,NA,NA,NA,10.5,73.1,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,100,0,5.3
Lesotho,2009,Exporter Type,NA,Non-exporter,Average,15.5,10.1,10,29.5,3.6,0.6,28.8,13.1,17.9,28.4,45.8,11.2,11.1,3.3,68.1,NA,14.2,30,2,68.8,45.5,4.8,17.2,3,3.7,NA,NA,NA,16.9,33.9,64.4,40.8,NA,14.5,47,26.9,90.8,NA,NA,NA,NA,NA,NA,NA,11.8,75.7,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,85.3,0.7,26.9
Lesotho,2009,Gender of Top Manager,NA,Top manager is female,Average,15.2,5.5,0,NA,0,NA,NA,NA,NA,21,26,NA,NA,NA,73.2,NA,12.9,14.2,0,72.6,24.7,1.3,2.2,NA,NA,NA,NA,NA,6.2,20.9,76.7,68,NA,7.2,NA,44.8,93.1,NA,NA,NA,NA,NA,NA,NA,1.1,87.6,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,99.5,0,30.9
Lesotho,2009,Gender of Top Manager,NA,Top manager is male,Average,18.9,13.1,14.6,30.2,8,3.2,31.9,27.3,26.4,27,45.4,12.3,14.2,3.6,66,NA,16.4,36.2,3.9,64.5,19.2,6.3,17.9,3,6,NA,NA,NA,15.5,49.1,51.3,38.7,NA,14.5,52.8,242.6,86.8,NA,NA,NA,NA,NA,NA,NA,12.6,70,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.1,90.3,1,33.3
Lesotho,2009,Location,NA,Maseru,Average,14.6,9.4,9.2,27.6,3.3,1.7,26,11.4,15.7,28.1,46.7,11.7,12.1,1.4,68.1,NA,14.2,31.1,1.8,68.2,44.4,5.6,16.4,7,4,NA,NA,NA,16.5,35.3,63.7,42.5,NA,14.5,49.7,132.7,91.1,NA,NA,NA,NA,NA,NA,NA,11.3,75.7,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,86.8,0.6,27.6
Lesotho,2009,Ownership Type,NA,10% or more foreign ownership,Average,11.4,10.4,15.1,24,0,0,NA,5.7,0,25.6,39.1,16.4,8.8,2,60.6,NA,15.7,100,5.8,13.4,29,6.1,18.5,NA,5.4,NA,NA,NA,25,17.2,75.4,54.9,NA,17.1,47.1,84.1,95.9,NA,NA,NA,NA,NA,NA,NA,13,76.5,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6,90.3,0.9,22.1
Lesotho,2009,Ownership Type,NA,Domestic,Average,16.3,8.8,6,29,4.8,1.9,27.9,12.8,24.7,29.2,50.2,9.3,13.7,1.1,71.3,NA,13.4,0,0,92.9,51.4,5.4,15.3,60,3.8,NA,NA,NA,12.6,43.8,58.2,37,NA,13.4,50.8,154.7,88.9,NA,NA,NA,NA,NA,NA,NA,10.5,75.3,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,85.2,0.5,30.1
Lesotho,2009,Sector,Manufacturing,All,Average,13.9,6.9,3.5,31,1.4,4.2,44.1,11.6,13.3,39.9,44.9,17,18.4,0.8,80.5,NA,12.8,40.3,9.5,52.1,48.5,7.1,31,5,2.6,NA,NA,NA,13.4,7.7,90.2,54.4,NA,15.1,57.5,566.4,96.2,NA,NA,NA,NA,NA,NA,NA,11.7,79,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,97.2,0.3,19.2
Lesotho,2009,Sector,Manufacturing,Manufacturing,Average,13.9,6.9,3.5,31,1.4,4.2,44.1,11.6,13.3,39.9,44.9,17,18.4,0.8,80.5,NA,12.8,40.3,9.5,52.1,48.5,7.1,31,5,2.6,NA,NA,NA,13.4,7.7,90.2,54.4,NA,15.1,57.5,566.4,96.2,NA,NA,NA,NA,NA,NA,NA,11.7,79,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,97.2,0.3,19.2
Lesotho,2009,Sector,Services,All,Average,14.7,10,10.5,27,3.7,0,21.6,11.3,16,24.9,47.1,10.2,10.4,1.6,65.1,NA,14.5,29,0,71.9,43.5,5.3,13.3,7,5.3,NA,NA,NA,17.2,41.3,57.9,39.7,NA,14.4,48.2,29.1,89.9,NA,NA,NA,NA,NA,NA,NA,11.2,74.9,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,84.3,0.7,29.5
Lesotho,2009,Sector,Services,Services,Average,14.7,10,10.5,27,3.7,0,21.6,11.3,16,24.9,47.1,10.2,10.4,1.6,65.1,NA,14.5,29,0,71.9,43.5,5.3,13.3,7,5.3,NA,NA,NA,17.2,41.3,57.9,39.7,NA,14.4,48.2,29.1,89.9,NA,NA,NA,NA,NA,NA,NA,11.2,74.9,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,84.3,0.7,29.5
Lesotho,2009,Size,NA,Large (100+),Average,51.1,36.7,42.2,34,39.6,10.7,33.3,65.1,13.8,72,51.6,NA,NA,NA,85.1,NA,23.4,45.1,2.5,55.5,24.4,10.4,15.7,NA,6.5,NA,NA,NA,40.6,48.3,48.3,90.5,NA,15.9,39.9,NA,79.4,NA,NA,NA,NA,NA,NA,NA,14.5,67.5,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,66.8,2.4,5.1
Lesotho,2009,Size,NA,Medium (20-99),Average,7.1,3.6,0.6,35.6,0,0,36,1.5,1.6,19.9,42.3,20,15,4.7,88.2,NA,18.1,48.3,5.9,59.3,19.5,6.3,12.3,1,2.3,NA,NA,NA,3.8,30.4,65.2,53.4,NA,17.7,61.4,40.9,92.8,NA,NA,NA,NA,NA,NA,NA,2.9,80.3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,89.4,1.2,13.1
Lesotho,2009,Size,NA,Small (5-19),Average,14.6,9.5,9,22.7,0.4,1,22.2,1.4,24.5,27.9,48.1,6.4,10.6,-0.4,58.5,NA,12,23.2,0.1,72.7,56.1,5,17.9,60,4.2,NA,NA,NA,19.7,36.4,64.3,34.3,NA,13.2,45.1,8.9,91.3,NA,NA,NA,NA,NA,NA,NA,14.4,74.5,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,87.3,0.3,35.1
Lesotho,2009,NA,NA,NA,Average,14.6,9.4,9.2,27.6,3.3,1.7,26,11.4,15.7,28.1,46.7,11.7,12.1,1.4,68.1,NA,14.2,31.1,1.8,68.2,44.4,5.6,16.4,7,4,NA,NA,NA,16.5,35.3,63.7,42.5,NA,14.5,49.7,132.7,91.1,NA,NA,NA,NA,NA,NA,NA,11.3,75.7,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,86.8,0.6,27.6
Lesotho,2016,Exporter Type,NA,Direct exports are 10% or more of sales,Average,28.8,13.9,31.3,7.4,4.1,0,2.2,7,3.7,10.5,70.5,NA,NA,NA,49.1,83.8,15.8,65.2,2.6,58.5,5,1.8,1.8,1,2.4,NA,NA,NA,19.8,38.9,53.3,71.1,81.4,6.9,NA,339.9,98.7,85.6,63.9,37.5,NA,NA,NA,NA,32.1,57,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,98.8,0,21.5
Lesotho,2016,Exporter Type,NA,Non-exporter,Average,13,9.4,14,39.9,2.1,5.1,2.3,1.7,7,14.2,50.4,-4,2.9,-6.9,23.7,79.8,14.5,8.9,0,89.6,63.8,2.8,2,14,2.9,NA,NA,NA,30.6,46,46.4,26.9,70.9,10.3,NA,38.4,98.4,77,84,69.4,NA,NA,NA,NA,12.4,64.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,91.5,0.6,53.4
Lesotho,2016,Gender of Top Manager,NA,Top manager is female,Average,27.3,19.3,34.3,35.4,0.9,NA,NA,NA,NA,20.8,43.9,-1.5,-0.3,-0.4,26.5,78.5,13.6,18.5,0,80.1,55.4,2.5,1.9,NA,NA,NA,NA,NA,12.8,51.4,45.4,37.6,NA,8.8,NA,82.2,98.2,71.1,93.6,79.7,NA,NA,NA,NA,21.7,60.7,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,92.8,0.7,55.1
Lesotho,2016,Gender of Top Manager,NA,Top manager is male,Average,7,4.1,5.2,27.6,3.5,0,2.3,5.2,8.4,9.5,57.4,-3.6,6.4,-10.4,26.7,81,15.4,13.2,0.4,89.5,60.2,2.8,1.9,1,2.2,NA,NA,NA,41.5,41,48.7,27.6,78.5,10.9,NA,60.1,98.6,83.9,71.4,58.6,NA,NA,NA,NA,9.9,65.9,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,90.4,0.4,47.3
Lesotho,2016,Location,NA,Lesotho,Average,14.6,9.8,15.7,31.7,2.2,3.4,2.2,3.6,5.9,13.8,50.7,-2.9,4.2,-7.1,26.6,80.2,14.7,15,0.3,86.4,58.5,2.7,1.9,1,2.8,NA,NA,NA,29.3,44.8,47.5,31.2,76.6,10.1,NA,68.1,98.4,78.6,80.2,66.4,NA,NA,NA,NA,14.2,64,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1,91.3,0.5,50.1
Lesotho,2016,Ownership Type,NA,10% or more foreign ownership,Average,41.3,24.9,36.6,3.5,NA,0,0,6.5,10.5,17.2,71.3,NA,NA,NA,27.3,82.7,14.3,100,1.9,35.6,8.4,3.6,NA,NA,2.4,NA,NA,NA,27.8,50.4,42.2,38.6,78,6.7,NA,175,98.5,85,77.9,58.7,NA,NA,NA,NA,34.2,53.5,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,99.1,0,12.8
Lesotho,2016,Ownership Type,NA,Domestic,Average,11.8,8.4,13,56.5,4.2,18.8,3.2,2.6,5,15.5,48.9,-3,4,-7,31.8,79.4,14.1,0,0,95.3,73.2,2.8,1.9,3,4.3,NA,NA,NA,24.6,42.3,50.4,24.9,75.7,10.6,NA,58.3,98.7,76.7,81.1,66.3,NA,NA,NA,NA,10.8,65.9,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.6,88.2,0.7,54.8
Lesotho,2016,Sector,Manufacturing,All,Average,26.2,12.6,19.5,20.4,10.2,0,9.9,12.4,19,20.4,59.7,-8.1,-0.9,-6.6,27.3,80.2,14,31,1.6,71.7,48.5,6.1,2.1,1,4.1,NA,NA,NA,25.6,52.1,50.6,30.3,76.6,10.4,NA,244.9,98.3,78.6,80.2,59.7,NA,NA,NA,NA,19.8,60.3,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,89.7,0.3,63.7
Lesotho,2016,Sector,Manufacturing,Manufacturing,Average,26.2,12.6,19.5,20.4,10.2,0,9.9,12.4,19,20.4,59.7,-8.1,-0.9,-6.6,27.3,80.2,14,31,1.6,71.7,48.5,6.1,2.1,1,4.1,NA,NA,NA,25.6,52.1,50.6,30.3,76.6,10.4,NA,244.9,98.3,78.6,80.2,59.7,NA,NA,NA,NA,19.8,60.3,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,89.7,0.3,63.7
Lesotho,2016,Sector,Services,All,Average,12.2,9.3,14.9,35,0,4.3,0,0,0,12.5,49.1,-2,5,-7.2,26.5,NA,14.9,11.6,0,89.5,60.2,2.1,1.9,NA,2.5,NA,NA,NA,30,43.5,46.9,31.3,NA,10.1,NA,36.1,98.5,NA,NA,67.4,NA,NA,NA,NA,13.2,64.7,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,91.6,0.6,47.7
Lesotho,2016,Sector,Services,Services,Average,12.2,9.3,14.9,35,0,4.3,0,0,0,12.5,49.1,-2,5,-7.2,26.5,NA,14.9,11.6,0,89.5,60.2,2.1,1.9,NA,2.5,NA,NA,NA,30,43.5,46.9,31.3,NA,10.1,NA,36.1,98.5,NA,NA,67.4,NA,NA,NA,NA,13.2,64.7,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,91.6,0.6,47.7
Lesotho,2016,Size,NA,Large (100+),Average,74.4,53.6,67.9,70.1,NA,0,16.6,11.5,50.5,42.8,40.8,NA,NA,NA,44.6,84.3,15.4,48.9,1.6,59.2,3,1.6,NA,NA,5.9,NA,NA,NA,4,43.7,52.6,23.9,76.3,10.6,NA,693,95.3,89.6,68.5,84.2,NA,NA,NA,NA,46.4,48.6,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,100,0,14.6
Lesotho,2016,Size,NA,Medium (20-99),Average,13.6,12,16.4,19.8,0,10.2,0,7.2,0,15.2,40.9,-3.6,9.5,-13.2,45.2,79.1,16.7,33.3,0.7,75.5,25.4,3.1,1.8,1,2.6,NA,NA,NA,24.7,40.7,55,50.8,77.8,9.3,NA,36.2,97.7,85.8,71.2,64.1,NA,NA,NA,NA,23.9,61.6,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,93.7,0.1,16.9
Lesotho,2016,Size,NA,Small (5-19),Average,7.3,3.7,7.9,11.4,2.7,0,2.9,0,1.9,10.3,52.8,-2.8,2.9,-5.4,19.7,79,14.1,5.9,0,92.6,73.4,2.7,2,NA,NA,NA,NA,NA,34,46.1,44.9,26.6,76.3,10.3,NA,9.3,99,73.3,86.7,65.7,NA,NA,NA,NA,8,66.3,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7,89.7,0.7,62.8
Lesotho,2016,NA,NA,NA,Average,14.6,9.8,15.7,31.7,2.2,3.4,2.2,3.6,5.9,13.8,50.7,-2.9,4.2,-7.1,26.6,80.2,14.7,15,0.3,86.4,58.5,2.7,1.9,1,2.8,NA,NA,NA,29.3,44.8,47.5,31.2,76.6,10.1,NA,68.1,98.4,78.6,80.2,66.4,NA,NA,NA,NA,14.2,64,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1,91.3,0.5,50.1
Lesotho,2023,Exporter Type,NA,Direct exports are 10% or more of sales,Average,9.4,7.8,9.7,NA,NA,NA,NA,NA,NA,26.5,39.6,NA,NA,NA,41.4,76.2,18,43.9,0,60.6,6.7,6.1,NA,NA,NA,NA,NA,NA,24.4,6.3,89.4,47.3,NA,22.7,49.9,367.4,82.9,87.6,55.4,82.4,3.5,1.4,16.3,NA,19.9,77.1,16.7,54.2,74.5,59.1,76.5,48.2,71.1,23.3,68.9,16.4,28.3,97.2,0.2,6
Lesotho,2023,Exporter Type,NA,Non-exporter,Average,6.6,5.1,2,NA,6.5,0,16.2,0,0,6.4,30.6,19.6,5.5,16.7,28.5,76.7,20.5,26.3,1.8,75.9,44.2,7.5,16.5,14,44.8,NA,NA,NA,17.6,26.4,70.7,30.1,58.6,21,81.3,87.6,87,75.9,66.8,68,6,1.9,23.4,3,3.9,83,5.8,53.6,79.7,56.6,58,48.5,50.3,39.1,64.7,18.6,61.5,75,2.9,29.6
Lesotho,2023,Gender of Top Manager,NA,Top manager is female,Average,8,7.1,2.6,NA,11.3,0,12.7,NA,NA,12.5,28.8,25.2,4,21.7,22.3,76.2,18.9,31.4,2.3,69.9,38.6,5.7,4.3,7,NA,NA,NA,NA,15.2,28.5,70.5,29.8,NA,18.3,75.7,146.9,83.6,71.9,69.6,80.9,3,1.6,26.6,2.3,3.6,85.6,3.5,51.9,79.8,47.6,55.8,50.9,59.3,57,51.5,12.4,56.8,79.2,1.6,25.6
Lesotho,2023,Gender of Top Manager,NA,Top manager is male,Average,6.9,5.1,4.1,NA,4.8,0,23.9,NA,0,9.2,33.8,17,3.7,16.1,34.4,76.8,20.6,28.5,1.2,74.7,37.1,7.9,22.5,20,64.1,NA,NA,NA,20.2,20.4,75.6,34.5,74.7,22.5,75.7,133.1,87.5,81.1,61.8,66.9,6.5,1.9,20.2,3.3,7.9,80.4,9.6,54.6,76.9,61.5,68.8,47.4,58,23.8,72,20,54.8,78.8,2.8,25.2
Lesotho,2023,Location,NA,Maseru,Average,6.5,5.6,2.8,NA,6.2,0,31.6,NA,0,16.1,35.8,22,1.4,22.3,28.3,77.6,20.5,36.4,2.5,67,29.5,6.2,15.2,20,68,NA,NA,NA,20.6,23.9,71.6,35.2,65.7,21.1,75.3,161.3,83.9,78,71.9,75.3,5.7,1.7,24,3,9.8,77.3,11.1,51.6,72.9,61.1,60.1,43.1,58.5,31.5,71.8,13.6,53.8,85.6,1.2,23.3
Lesotho,2023,Location,NA,Rest of the country,Average,8.7,6,4.8,NA,12.3,NA,6.3,NA,0,1,27.2,15.4,7.6,10.4,34.5,75,19.5,18.9,0,82.6,49.6,8.8,14.2,7,NA,NA,NA,NA,15.9,21.2,77.6,30,NA,21.5,76.3,101.3,90,79.2,49.5,63.3,4.9,1.9,19.4,3.1,1.9,88.9,2.8,61.5,88.8,50.3,75.4,59.1,58,36.1,55.3,28.4,57.8,68.9,4.2,28.2
Lesotho,2023,Ownership Type,NA,10% or more foreign ownership,Average,10.5,8.7,4.4,NA,6.9,NA,NA,NA,NA,5.9,24.9,26.6,-1,25.5,26.8,81,19.6,100,5.2,13.5,10,12.7,29.6,NA,NA,NA,NA,NA,17.4,28.4,67.9,27.9,NA,23.2,65.2,319.9,76.7,83.4,62.6,72.2,9.9,1.3,29.4,4,4.1,75.9,14.9,57.5,82.9,64.9,60.8,46.9,69.8,41.1,72.8,18.9,31.6,98,0,18.8
Lesotho,2023,Ownership Type,NA,Domestic,Average,4.5,3.1,3.2,NA,4.6,0,4.1,0,0,12.1,35.4,16,5.9,14,32.7,73.3,20.1,0,0,98.1,49.3,5.3,4.2,14,88.8,NA,NA,NA,19.3,19.9,77,34.7,72.6,20.6,80.6,62.4,90.7,74.3,65.1,69.9,4.1,2,19.4,2.5,7.6,84.2,4.8,49.6,72.3,50.7,69.2,49.8,47.7,25.5,60.3,16.3,65.9,70.8,3.4,28
Lesotho,2023,Sector,Manufacturing,All,Average,5.8,4.4,0,NA,7,NA,NA,NA,NA,4.9,30,25.7,7.1,20.8,30.2,76.6,20.1,44.3,3.4,58,35.2,9,13.2,NA,NA,NA,NA,NA,18.8,21.8,72.3,31.1,66.3,21.6,79.1,271.7,86.9,78.4,64.1,68,3.5,1.5,24.5,3.3,3.8,83.5,10.8,57.2,83.3,60.5,66.8,47.3,63.3,39.6,67.5,22.1,43.5,75.3,2.3,20.8
Lesotho,2023,Sector,Manufacturing,Manufacturing,Average,5.8,4.4,0,NA,7,NA,NA,NA,NA,4.9,30,25.7,7.1,20.8,30.2,76.6,20.1,44.3,3.4,58,35.2,9,13.2,NA,NA,NA,NA,NA,18.8,21.8,72.3,31.1,66.3,21.6,79.1,271.7,86.9,78.4,64.1,68,3.5,1.5,24.5,3.3,3.8,83.5,10.8,57.2,83.3,60.5,66.8,47.3,63.3,39.6,67.5,22.1,43.5,75.3,2.3,20.8
Lesotho,2023,Sector,Services,All,Average,8.3,6.7,7.3,NA,7.8,0,12,NA,0,14.4,34.1,15,1.2,15.7,31.2,NA,20.1,17.4,0,85.4,39.4,6,16.3,14,86.3,NA,NA,NA,18.6,23.7,75.4,34.7,NA,21.1,73,31.5,85.9,NA,NA,74.6,6.5,2,20.3,2.8,8.8,80.9,5.3,46.6,67.3,52.5,62.4,50.2,50,21.9,64.3,8.9,64.2,81.9,2.5,28.8
